,region,number_of_cases,number_of_cases_for_10k,date
579,Dolnośląskie,109,0.38,2020-12-27
580,Kujawsko-pomorskie,302,1.46,2020-12-27
581,Lubelskie,126,0.6,2020-12-27
582,Lubuskie,49,0.49,2020-12-27
583,Łódzkie,199,0.81,2020-12-27
584,Małopolskie,190,0.56,2020-12-27
585,Mazowieckie,409,0.75,2020-12-27
586,Opolskie,50,0.51,2020-12-27
587,Podkarpackie,76,0.36,2020-12-27
588,Podlaskie,70,0.59,2020-12-27
589,Pomorskie,404,1.72,2020-12-27
590,Śląskie,224,0.5,2020-12-27
591,Świętokrzyskie,55,0.45,2020-12-27
592,Warmińsko-mazurskie,136,0.96,2020-12-27
593,Wielkopolskie,309,0.88,2020-12-27
594,Zachodniopomorskie,282,1.67,2020-12-27
595,Cały kraj,7914,2.06,2020-12-28
596,Dolnośląskie,405,1.4,2020-12-28
597,Kujawsko-pomorskie,720,3.48,2020-12-28
598,Lubelskie,490,2.33,2020-12-28
599,Lubuskie,208,2.06,2020-12-28
600,Łódzkie,671,2.74,2020-12-28
601,Małopolskie,251,0.74,2020-12-28
602,Mazowieckie,957,1.76,2020-12-28
603,Opolskie,120,1.22,2020-12-28
604,Podkarpackie,85,0.4,2020-12-28
605,Podlaskie,203,1.73,2020-12-28
606,Pomorskie,483,2.06,2020-12-28
607,Śląskie,823,1.83,2020-12-28
608,Świętokrzyskie,129,1.05,2020-12-28
609,Warmińsko-mazurskie,765,5.39,2020-12-28
610,Wielkopolskie,647,1.85,2020-12-28
611,Zachodniopomorskie,713,4.21,2020-12-28
612,Cały kraj,12955,3.38,2020-12-29
613,Dolnośląskie,674,2.33,2020-12-29
614,Kujawsko-pomorskie,1106,5.34,2020-12-29
615,Lubelskie,609,2.9,2020-12-29
616,Lubuskie,349,3.45,2020-12-29
617,Łódzkie,801,3.27,2020-12-29
618,Małopolskie,541,1.58,2020-12-29
619,Mazowieckie,1600,2.95,2020-12-29
620,Opolskie,206,2.1,2020-12-29
621,Podkarpackie,279,1.31,2020-12-29
622,Podlaskie,426,3.62,2020-12-29
623,Pomorskie,1101,4.69,2020-12-29
624,Śląskie,1299,2.88,2020-12-29
625,Świętokrzyskie,159,1.29,2020-12-29
626,Warmińsko-mazurskie,988,6.96,2020-12-29
627,Wielkopolskie,1585,4.53,2020-12-29
628,Zachodniopomorskie,996,5.88,2020-12-29
629,Cały kraj,13397,3.49,2020-12-30
630,Dolnośląskie,804,2.77,2020-12-30
631,Kujawsko-pomorskie,1517,7.33,2020-12-30
632,Lubelskie,564,2.68,2020-12-30
633,Lubuskie,493,4.88,2020-12-30
634,Łódzkie,703,2.87,2020-12-30
635,Małopolskie,387,1.13,2020-12-30
636,Mazowieckie,1739,3.2,2020-12-30
637,Opolskie,347,3.54,2020-12-30
638,Podkarpackie,284,1.34,2020-12-30
639,Podlaskie,356,3.03,2020-12-30
640,Pomorskie,1288,5.49,2020-12-30
641,Śląskie,1046,2.32,2020-12-30
642,Świętokrzyskie,193,1.57,2020-12-30
643,Warmińsko-mazurskie,1061,7.47,2020-12-30
644,Wielkopolskie,1469,4.2,2020-12-30
645,Zachodniopomorskie,900,5.32,2020-12-30
646,Cały kraj,11008,2.87,2020-12-31
647,Dolnośląskie,647,2.23,2020-12-31
648,Kujawsko-pomorskie,967,4.67,2020-12-31
649,Lubelskie,388,1.84,2020-12-31
650,Lubuskie,343,3.4,2020-12-31
651,Łódzkie,704,2.87,2020-12-31
652,Małopolskie,388,1.14,2020-12-31
653,Mazowieckie,1453,2.68,2020-12-31
654,Opolskie,179,1.83,2020-12-31
655,Podkarpackie,261,1.23,2020-12-31
656,Podlaskie,307,2.61,2020-12-31
657,Pomorskie,1027,4.38,2020-12-31
658,Śląskie,885,1.96,2020-12-31
659,Świętokrzyskie,192,1.56,2020-12-31
660,Warmińsko-mazurskie,825,5.81,2020-12-31
661,Wielkopolskie,1249,3.57,2020-12-31
662,Zachodniopomorskie,951,5.62,2020-12-31
663,Cały kraj,6945,1.81,2021-01-01
664,Dolnośląskie,344,1.19,2021-01-01
665,Kujawsko-pomorskie,471,2.28,2021-01-01
666,Lubelskie,280,1.33,2021-01-01
667,Lubuskie,113,1.12,2021-01-01
668,Łódzkie,604,2.47,2021-01-01
669,Małopolskie,281,0.82,2021-01-01
670,Mazowieckie,1046,1.93,2021-01-01
671,Opolskie,182,1.86,2021-01-01
672,Podkarpackie,217,1.02,2021-01-01
673,Podlaskie,173,1.47,2021-01-01
674,Pomorskie,787,3.35,2021-01-01
675,Śląskie,431,0.96,2021-01-01
676,Świętokrzyskie,98,0.8,2021-01-01
677,Warmińsko-mazurskie,321,2.26,2021-01-01
678,Wielkopolskie,915,2.61,2021-01-01
679,Zachodniopomorskie,538,3.18,2021-01-01
680,Cały kraj,5739,1.5,2021-01-02
681,Dolnośląskie,246,0.85,2021-01-02
682,Kujawsko-pomorskie,673,3.25,2021-01-02
683,Lubelskie,207,0.98,2021-01-02
684,Lubuskie,169,1.67,2021-01-02
685,Łódzkie,292,1.19,2021-01-02
686,Małopolskie,200,0.59,2021-01-02
687,Mazowieckie,903,1.66,2021-01-02
688,Opolskie,100,1.02,2021-01-02
689,Podkarpackie,118,0.56,2021-01-02
690,Podlaskie,171,1.45,2021-01-02
691,Pomorskie,705,3.0,2021-01-02
692,Śląskie,288,0.64,2021-01-02
693,Świętokrzyskie,77,0.63,2021-01-02
694,Warmińsko-mazurskie,376,2.65,2021-01-02
695,Wielkopolskie,495,1.41,2021-01-02
696,Zachodniopomorskie,518,3.06,2021-01-02
697,Cały kraj,4432,1.16,2021-01-03
698,Dolnośląskie,115,0.4,2021-01-03
699,Kujawsko-pomorskie,484,2.34,2021-01-03
700,Lubelskie,142,0.68,2021-01-03
701,Lubuskie,96,0.95,2021-01-03
702,Łódzkie,287,1.17,2021-01-03
703,Małopolskie,194,0.57,2021-01-03
704,Mazowieckie,746,1.37,2021-01-03
705,Opolskie,84,0.86,2021-01-03
706,Podkarpackie,116,0.55,2021-01-03
707,Podlaskie,80,0.68,2021-01-03
708,Pomorskie,623,2.65,2021-01-03
709,Śląskie,282,0.63,2021-01-03
710,Świętokrzyskie,59,0.48,2021-01-03
711,Warmińsko-mazurskie,139,0.98,2021-01-03
712,Wielkopolskie,317,0.91,2021-01-03
713,Zachodniopomorskie,436,2.57,2021-01-03
714,Cały kraj,7624,1.99,2021-01-04
715,Dolnośląskie,481,1.66,2021-01-04
716,Kujawsko-pomorskie,913,4.41,2021-01-04
717,Lubelskie,447,2.13,2021-01-04
718,Lubuskie,93,0.92,2021-01-04
719,Łódzkie,487,1.99,2021-01-04
720,Małopolskie,233,0.68,2021-01-04
721,Mazowieckie,824,1.52,2021-01-04
722,Opolskie,93,0.95,2021-01-04
723,Podkarpackie,270,1.27,2021-01-04
724,Podlaskie,189,1.61,2021-01-04
725,Pomorskie,534,2.28,2021-01-04
726,Śląskie,740,1.64,2021-01-04
727,Świętokrzyskie,88,0.72,2021-01-04
728,Warmińsko-mazurskie,601,4.23,2021-01-04
729,Wielkopolskie,802,2.29,2021-01-04
730,Zachodniopomorskie,569,3.36,2021-01-04
731,Cały kraj,14151,3.69,2021-01-05
732,Dolnośląskie,599,2.07,2021-01-05
733,Kujawsko-pomorskie,1300,6.28,2021-01-05
734,Lubelskie,658,3.13,2021-01-05
735,Lubuskie,368,3.64,2021-01-05
736,Łódzkie,1058,4.32,2021-01-05
737,Małopolskie,625,1.83,2021-01-05
738,Mazowieckie,1686,3.11,2021-01-05
739,Opolskie,222,2.26,2021-01-05
740,Podkarpackie,654,3.08,2021-01-05
741,Podlaskie,477,4.05,2021-01-05
742,Pomorskie,1148,4.89,2021-01-05
743,Śląskie,1391,3.09,2021-01-05
744,Świętokrzyskie,218,1.77,2021-01-05
745,Warmińsko-mazurskie,1082,7.62,2021-01-05
746,Wielkopolskie,1488,4.25,2021-01-05
747,Zachodniopomorskie,921,5.44,2021-01-05
748,Cały kraj,12054,3.14,2021-01-06
749,Dolnośląskie,627,2.16,2021-01-06
750,Kujawsko-pomorskie,1078,5.21,2021-01-06
751,Lubelskie,331,1.57,2021-01-06
752,Lubuskie,379,3.75,2021-01-06
753,Łódzkie,627,2.56,2021-01-06
754,Małopolskie,453,1.33,2021-01-06
755,Mazowieckie,1469,2.71,2021-01-06
756,Opolskie,326,3.32,2021-01-06
757,Podkarpackie,570,2.68,2021-01-06
758,Podlaskie,272,2.31,2021-01-06
759,Pomorskie,1003,4.27,2021-01-06
760,Śląskie,855,1.9,2021-01-06
761,Świętokrzyskie,181,1.47,2021-01-06
762,Warmińsko-mazurskie,709,4.99,2021-01-06
763,Wielkopolskie,1609,4.6,2021-01-06
764,Zachodniopomorskie,1324,7.82,2021-01-06
765,Cały kraj,8790,2.29,2021-01-07
766,Dolnośląskie,461,1.59,2021-01-07
767,Kujawsko-pomorskie,1034,5.0,2021-01-07
768,Lubelskie,403,1.92,2021-01-07
769,Lubuskie,233,2.31,2021-01-07
770,Łódzkie,546,2.23,2021-01-07
771,Małopolskie,352,1.03,2021-01-07
772,Mazowieckie,1216,2.24,2021-01-07
773,Opolskie,96,0.98,2021-01-07
774,Podkarpackie,490,2.3,2021-01-07
775,Podlaskie,293,2.49,2021-01-07
776,Pomorskie,987,4.21,2021-01-07
777,Śląskie,548,1.22,2021-01-07
778,Świętokrzyskie,89,0.72,2021-01-07
779,Warmińsko-mazurskie,486,3.42,2021-01-07
780,Wielkopolskie,774,2.21,2021-01-07
781,Zachodniopomorskie,554,3.27,2021-01-07
782,Cały kraj,10548,2.75,2021-01-08
783,Dolnośląskie,514,1.77,2021-01-08
784,Kujawsko-pomorskie,886,4.28,2021-01-08
785,Lubelskie,512,2.43,2021-01-08
786,Lubuskie,293,2.9,2021-01-08
787,Łódzkie,702,2.87,2021-01-08
788,Małopolskie,418,1.22,2021-01-08
789,Mazowieckie,1333,2.46,2021-01-08
790,Opolskie,195,1.99,2021-01-08
791,Podkarpackie,291,1.37,2021-01-08
792,Podlaskie,298,2.53,2021-01-08
793,Pomorskie,977,4.16,2021-01-08
794,Śląskie,836,1.85,2021-01-08
795,Świętokrzyskie,154,1.25,2021-01-08
796,Warmińsko-mazurskie,928,6.53,2021-01-08
797,Wielkopolskie,1151,3.29,2021-01-08
798,Zachodniopomorskie,843,4.98,2021-01-08
799,Cały kraj,9410,2.45,2021-01-09
800,Dolnośląskie,459,1.58,2021-01-09
801,Kujawsko-pomorskie,923,4.46,2021-01-09
802,Lubelskie,381,1.81,2021-01-09
803,Lubuskie,261,2.58,2021-01-09
804,Łódzkie,573,2.34,2021-01-09
805,Małopolskie,260,0.76,2021-01-09
806,Mazowieckie,1305,2.4,2021-01-09
807,Opolskie,181,1.85,2021-01-09
808,Podkarpackie,214,1.01,2021-01-09
809,Podlaskie,239,2.03,2021-01-09
810,Pomorskie,1010,4.3,2021-01-09
811,Śląskie,676,1.5,2021-01-09
812,Świętokrzyskie,151,1.23,2021-01-09
813,Warmińsko-mazurskie,515,3.63,2021-01-09
814,Wielkopolskie,1106,3.16,2021-01-09
815,Zachodniopomorskie,936,5.53,2021-01-09
816,Cały kraj,4622,1.21,2021-01-10
817,Dolnośląskie,227,0.78,2021-01-10
818,Kujawsko-pomorskie,388,1.88,2021-01-10
819,Lubelskie,138,0.66,2021-01-10
820,Lubuskie,190,1.88,2021-01-10
821,Łódzkie,218,0.89,2021-01-10
822,Małopolskie,233,0.68,2021-01-10
823,Mazowieckie,627,1.16,2021-01-10
824,Opolskie,127,1.29,2021-01-10
825,Podkarpackie,159,0.75,2021-01-10
826,Podlaskie,75,0.64,2021-01-10
827,Pomorskie,509,2.17,2021-01-10
828,Śląskie,233,0.52,2021-01-10
829,Świętokrzyskie,97,0.79,2021-01-10
830,Warmińsko-mazurskie,210,1.48,2021-01-10
831,Wielkopolskie,446,1.27,2021-01-10
832,Zachodniopomorskie,570,3.37,2021-01-10
833,Cały kraj,5569,1.45,2021-01-11
834,Dolnośląskie,339,1.17,2021-01-11
835,Kujawsko-pomorskie,526,2.54,2021-01-11
836,Lubelskie,344,1.64,2021-01-11
837,Lubuskie,89,0.88,2021-01-11
838,Łódzkie,285,1.16,2021-01-11
839,Małopolskie,236,0.69,2021-01-11
840,Mazowieckie,695,1.28,2021-01-11
841,Opolskie,116,1.18,2021-01-11
842,Podkarpackie,108,0.51,2021-01-11
843,Podlaskie,143,1.22,2021-01-11
844,Pomorskie,583,2.48,2021-01-11
845,Śląskie,522,1.16,2021-01-11
846,Świętokrzyskie,108,0.88,2021-01-11
847,Warmińsko-mazurskie,483,3.4,2021-01-11
848,Wielkopolskie,483,1.38,2021-01-11
849,Zachodniopomorskie,400,2.36,2021-01-11
850,Cały kraj,9053,2.36,2021-01-12
851,Dolnośląskie,452,1.56,2021-01-12
852,Kujawsko-pomorskie,910,4.4,2021-01-12
853,Lubelskie,493,2.34,2021-01-12
854,Lubuskie,243,2.41,2021-01-12
855,Łódzkie,567,2.32,2021-01-12
856,Małopolskie,383,1.12,2021-01-12
857,Mazowieckie,1069,1.97,2021-01-12
858,Opolskie,172,1.75,2021-01-12
859,Podkarpackie,235,1.11,2021-01-12
860,Podlaskie,333,2.83,2021-01-12
861,Pomorskie,729,3.11,2021-01-12
862,Śląskie,818,1.81,2021-01-12
863,Świętokrzyskie,131,1.07,2021-01-12
864,Warmińsko-mazurskie,626,4.41,2021-01-12
865,Wielkopolskie,1014,2.9,2021-01-12
866,Zachodniopomorskie,700,4.13,2021-01-12
867,Cały kraj,9436,2.46,2021-01-13
868,Dolnośląskie,463,1.6,2021-01-13
869,Kujawsko-pomorskie,993,4.8,2021-01-13
870,Lubelskie,403,1.92,2021-01-13
871,Lubuskie,288,2.85,2021-01-13
872,Łódzkie,554,2.26,2021-01-13
873,Małopolskie,337,0.99,2021-01-13
874,Mazowieckie,1231,2.27,2021-01-13
875,Opolskie,235,2.4,2021-01-13
876,Podkarpackie,233,1.1,2021-01-13
877,Podlaskie,291,2.47,2021-01-13
878,Pomorskie,878,3.74,2021-01-13
879,Śląskie,727,1.61,2021-01-13
880,Świętokrzyskie,164,1.33,2021-01-13
881,Warmińsko-mazurskie,690,4.86,2021-01-13
882,Wielkopolskie,1058,3.02,2021-01-13
883,Zachodniopomorskie,788,4.65,2021-01-13
884,Cały kraj,7795,2.03,2021-01-14
885,Dolnośląskie,477,1.65,2021-01-14
886,Kujawsko-pomorskie,712,3.44,2021-01-14
887,Lubelskie,355,1.69,2021-01-14
888,Lubuskie,218,2.16,2021-01-14
889,Łódzkie,495,2.02,2021-01-14
890,Małopolskie,321,0.94,2021-01-14
891,Mazowieckie,946,1.74,2021-01-14
892,Opolskie,214,2.18,2021-01-14
893,Podkarpackie,232,1.09,2021-01-14
894,Podlaskie,277,2.35,2021-01-14
895,Pomorskie,740,3.15,2021-01-14
896,Śląskie,601,1.33,2021-01-14
897,Świętokrzyskie,127,1.03,2021-01-14
898,Warmińsko-mazurskie,420,2.96,2021-01-14
899,Wielkopolskie,768,2.19,2021-01-14
900,Zachodniopomorskie,749,4.42,2021-01-14
901,Cały kraj,7412,1.93,2021-01-15
902,Dolnośląskie,378,1.3,2021-01-15
903,Kujawsko-pomorskie,653,3.16,2021-01-15
904,Lubelskie,358,1.7,2021-01-15
905,Lubuskie,178,1.76,2021-01-15
906,Łódzkie,416,1.7,2021-01-15
907,Małopolskie,293,0.86,2021-01-15
908,Mazowieckie,1040,1.92,2021-01-15
909,Opolskie,222,2.26,2021-01-15
910,Podkarpackie,194,0.91,2021-01-15
911,Podlaskie,210,1.78,2021-01-15
912,Pomorskie,741,3.16,2021-01-15
913,Śląskie,608,1.35,2021-01-15
914,Świętokrzyskie,120,0.98,2021-01-15
915,Warmińsko-mazurskie,547,3.85,2021-01-15
916,Wielkopolskie,696,1.99,2021-01-15
917,Zachodniopomorskie,629,3.71,2021-01-15
918,Cały kraj,6055,1.58,2021-01-16
919,Dolnośląskie,302,1.04,2021-01-16
920,Kujawsko-pomorskie,658,3.18,2021-01-16
921,Lubelskie,318,1.51,2021-01-16
922,Lubuskie,247,2.45,2021-01-16
923,Łódzkie,351,1.43,2021-01-16
924,Małopolskie,225,0.66,2021-01-16
925,Mazowieckie,816,1.5,2021-01-16
926,Opolskie,99,1.01,2021-01-16
927,Podkarpackie,177,0.83,2021-01-16
928,Podlaskie,121,1.03,2021-01-16
929,Pomorskie,603,2.57,2021-01-16
930,Śląskie,408,0.91,2021-01-16
931,Świętokrzyskie,125,1.02,2021-01-16
932,Warmińsko-mazurskie,287,2.02,2021-01-16
933,Wielkopolskie,828,2.37,2021-01-16
934,Zachodniopomorskie,324,1.91,2021-01-16
935,Cały kraj,3271,0.85,2021-01-17
936,Dolnośląskie,156,0.54,2021-01-17
937,Kujawsko-pomorskie,201,0.97,2021-01-17
938,Lubelskie,86,0.41,2021-01-17
939,Lubuskie,99,0.98,2021-01-17
940,Łódzkie,98,0.4,2021-01-17
941,Małopolskie,306,0.9,2021-01-17
942,Mazowieckie,475,0.88,2021-01-17
943,Opolskie,125,1.27,2021-01-17
944,Podkarpackie,83,0.39,2021-01-17
945,Podlaskie,69,0.59,2021-01-17
946,Pomorskie,468,1.99,2021-01-17
947,Śląskie,311,0.69,2021-01-17
948,Świętokrzyskie,73,0.59,2021-01-17
949,Warmińsko-mazurskie,108,0.76,2021-01-17
950,Wielkopolskie,224,0.64,2021-01-17
951,Zachodniopomorskie,292,1.72,2021-01-17
952,Cały kraj,4835,1.26,2021-01-18
953,Dolnośląskie,311,1.07,2021-01-18
954,Kujawsko-pomorskie,438,2.12,2021-01-18
955,Lubelskie,266,1.26,2021-01-18
956,Lubuskie,85,0.84,2021-01-18
957,Łódzkie,275,1.12,2021-01-18
958,Małopolskie,234,0.69,2021-01-18
959,Mazowieckie,683,1.26,2021-01-18
960,Opolskie,95,0.97,2021-01-18
961,Podkarpackie,188,0.88,2021-01-18
962,Podlaskie,126,1.07,2021-01-18
963,Pomorskie,411,1.75,2021-01-18
964,Śląskie,368,0.82,2021-01-18
965,Świętokrzyskie,77,0.63,2021-01-18
966,Warmińsko-mazurskie,354,2.49,2021-01-18
967,Wielkopolskie,413,1.18,2021-01-18
968,Zachodniopomorskie,392,2.32,2021-01-18
969,Cały kraj,6919,1.8,2021-01-19
970,Dolnośląskie,336,1.16,2021-01-19
971,Kujawsko-pomorskie,534,2.58,2021-01-19
972,Lubelskie,357,1.7,2021-01-19
973,Lubuskie,201,1.99,2021-01-19
974,Łódzkie,393,1.6,2021-01-19
975,Małopolskie,280,0.82,2021-01-19
976,Mazowieckie,890,1.64,2021-01-19
977,Opolskie,138,1.41,2021-01-19
978,Podkarpackie,192,0.9,2021-01-19
979,Podlaskie,329,2.8,2021-01-19
980,Pomorskie,582,2.48,2021-01-19
981,Śląskie,649,1.44,2021-01-19
982,Świętokrzyskie,125,1.02,2021-01-19
983,Warmińsko-mazurskie,549,3.86,2021-01-19
984,Wielkopolskie,683,1.95,2021-01-19
985,Zachodniopomorskie,550,3.25,2021-01-19
986,Cały kraj,7152,1.86,2021-01-20
987,Dolnośląskie,567,1.96,2021-01-20
988,Kujawsko-pomorskie,729,3.52,2021-01-20
989,Lubelskie,323,1.54,2021-01-20
990,Lubuskie,217,2.15,2021-01-20
991,Łódzkie,410,1.67,2021-01-20
992,Małopolskie,315,0.92,2021-01-20
993,Mazowieckie,874,1.61,2021-01-20
994,Opolskie,143,1.46,2021-01-20
995,Podkarpackie,216,1.02,2021-01-20
996,Podlaskie,226,1.92,2021-01-20
997,Pomorskie,740,3.15,2021-01-20
998,Śląskie,489,1.08,2021-01-20
999,Świętokrzyskie,147,1.2,2021-01-20
1000,Warmińsko-mazurskie,415,2.92,2021-01-20
1001,Wielkopolskie,740,2.11,2021-01-20
1002,Zachodniopomorskie,469,2.77,2021-01-20
1003,Cały kraj,6640,1.73,2021-01-21
1004,Dolnośląskie,366,1.26,2021-01-21
1005,Kujawsko-pomorskie,613,2.96,2021-01-21
1006,Lubelskie,311,1.48,2021-01-21
1007,Lubuskie,208,2.06,2021-01-21
1008,Łódzkie,351,1.43,2021-01-21
1009,Małopolskie,270,0.79,2021-01-21
1010,Mazowieckie,856,1.58,2021-01-21
1011,Opolskie,113,1.15,2021-01-21
1012,Podkarpackie,175,0.82,2021-01-21
1013,Podlaskie,229,1.95,2021-01-21
1014,Pomorskie,770,3.28,2021-01-21
1015,Śląskie,488,1.08,2021-01-21
1016,Świętokrzyskie,125,1.02,2021-01-21
1017,Warmińsko-mazurskie,476,3.35,2021-01-21
1018,Wielkopolskie,672,1.92,2021-01-21
1019,Zachodniopomorskie,504,2.98,2021-01-21
1020,Cały kraj,6322,1.65,2021-01-22
1021,Dolnośląskie,414,1.43,2021-01-22
1022,Kujawsko-pomorskie,644,3.11,2021-01-22
1023,Lubelskie,378,1.8,2021-01-22
1024,Lubuskie,166,1.64,2021-01-22
1025,Łódzkie,348,1.42,2021-01-22
1026,Małopolskie,250,0.73,2021-01-22
1027,Mazowieckie,936,1.72,2021-01-22
1028,Opolskie,95,0.97,2021-01-22
1029,Podkarpackie,159,0.75,2021-01-22
1030,Podlaskie,218,1.85,2021-01-22
1031,Pomorskie,513,2.19,2021-01-22
1032,Śląskie,529,1.17,2021-01-22
1033,Świętokrzyskie,90,0.73,2021-01-22
1034,Warmińsko-mazurskie,361,2.54,2021-01-22
1035,Wielkopolskie,600,1.71,2021-01-22
1036,Zachodniopomorskie,477,2.82,2021-01-22
1037,Cały kraj,4683,1.22,2021-01-23
1038,Dolnośląskie,251,0.87,2021-01-23
1039,Kujawsko-pomorskie,447,2.16,2021-01-23
1040,Lubelskie,234,1.11,2021-01-23
1041,Lubuskie,145,1.44,2021-01-23
1042,Łódzkie,283,1.16,2021-01-23
1043,Małopolskie,219,0.64,2021-01-23
1044,Mazowieckie,687,1.27,2021-01-23
1045,Opolskie,104,1.06,2021-01-23
1046,Podkarpackie,191,0.9,2021-01-23
1047,Podlaskie,161,1.37,2021-01-23
1048,Pomorskie,461,1.96,2021-01-23
1049,Śląskie,352,0.78,2021-01-23
1050,Świętokrzyskie,81,0.66,2021-01-23
1051,Warmińsko-mazurskie,170,1.2,2021-01-23
1052,Wielkopolskie,509,1.45,2021-01-23
1053,Zachodniopomorskie,259,1.53,2021-01-23
1054,Cały kraj,2419,0.63,2021-01-24
1055,Dolnośląskie,179,0.62,2021-01-24
1056,Kujawsko-pomorskie,218,1.05,2021-01-24
1057,Lubelskie,78,0.37,2021-01-24
1058,Lubuskie,134,1.33,2021-01-24
1059,Łódzkie,118,0.48,2021-01-24
1060,Małopolskie,115,0.34,2021-01-24
1061,Mazowieckie,371,0.68,2021-01-24
1062,Opolskie,45,0.46,2021-01-24
1063,Podkarpackie,61,0.29,2021-01-24
1064,Podlaskie,95,0.81,2021-01-24
1065,Pomorskie,357,1.52,2021-01-24
1066,Śląskie,147,0.33,2021-01-24
1067,Świętokrzyskie,40,0.33,2021-01-24
1068,Warmińsko-mazurskie,75,0.53,2021-01-24
1069,Wielkopolskie,200,0.57,2021-01-24
1070,Zachodniopomorskie,130,0.77,2021-01-24
1071,Cały kraj,4604,1.2,2021-01-25
1072,Dolnośląskie,312,1.08,2021-01-25
1073,Kujawsko-pomorskie,452,2.18,2021-01-25
1074,Lubelskie,336,1.6,2021-01-25
1075,Lubuskie,93,0.92,2021-01-25
1076,Łódzkie,256,1.05,2021-01-25
1077,Małopolskie,159,0.47,2021-01-25
1078,Mazowieckie,570,1.05,2021-01-25
1079,Opolskie,78,0.8,2021-01-25
1080,Podkarpackie,136,0.64,2021-01-25
1081,Podlaskie,145,1.23,2021-01-25
1082,Pomorskie,361,1.54,2021-01-25
1083,Śląskie,342,0.76,2021-01-25
1084,Świętokrzyskie,86,0.7,2021-01-25
1085,Warmińsko-mazurskie,383,2.7,2021-01-25
1086,Wielkopolskie,442,1.26,2021-01-25
1087,Zachodniopomorskie,298,1.76,2021-01-25
1088,Cały kraj,6789,1.77,2021-01-26
1089,Dolnośląskie,343,1.18,2021-01-26
1090,Kujawsko-pomorskie,634,3.06,2021-01-26
1091,Lubelskie,358,1.7,2021-01-26
1092,Lubuskie,174,1.72,2021-01-26
1093,Łódzkie,392,1.6,2021-01-26
1094,Małopolskie,359,1.05,2021-01-26
1095,Mazowieckie,934,1.72,2021-01-26
1096,Opolskie,105,1.07,2021-01-26
1097,Podkarpackie,182,0.86,2021-01-26
1098,Podlaskie,317,2.69,2021-01-26
1099,Pomorskie,636,2.71,2021-01-26
1100,Śląskie,623,1.38,2021-01-26
1101,Świętokrzyskie,97,0.79,2021-01-26
1102,Warmińsko-mazurskie,435,3.06,2021-01-26
1103,Wielkopolskie,656,1.87,2021-01-26
1104,Zachodniopomorskie,401,2.37,2021-01-26
1105,Cały kraj,7156,1.87,2021-01-27
1106,Dolnośląskie,527,1.82,2021-01-27
1107,Kujawsko-pomorskie,718,3.47,2021-01-27
1108,Lubelskie,354,1.68,2021-01-27
1109,Lubuskie,226,2.24,2021-01-27
1110,Łódzkie,391,1.6,2021-01-27
1111,Małopolskie,290,0.85,2021-01-27
1112,Mazowieckie,1046,1.93,2021-01-27
1113,Opolskie,153,1.56,2021-01-27
1114,Podkarpackie,270,1.27,2021-01-27
1115,Podlaskie,209,1.78,2021-01-27
1116,Pomorskie,659,2.81,2021-01-27
1117,Śląskie,557,1.24,2021-01-27
1118,Świętokrzyskie,114,0.93,2021-01-27
1119,Warmińsko-mazurskie,413,2.91,2021-01-27
1120,Wielkopolskie,669,1.91,2021-01-27
1121,Zachodniopomorskie,420,2.48,2021-01-27
1122,Cały kraj,6144,1.6,2021-01-28
1123,Dolnośląskie,386,1.33,2021-01-28
1124,Kujawsko-pomorskie,500,2.42,2021-01-28
1125,Lubelskie,264,1.26,2021-01-28
1126,Lubuskie,171,1.69,2021-01-28
1127,Łódzkie,309,1.26,2021-01-28
1128,Małopolskie,250,0.73,2021-01-28
1129,Mazowieckie,972,1.79,2021-01-28
1130,Opolskie,145,1.48,2021-01-28
1131,Podkarpackie,222,1.04,2021-01-28
1132,Podlaskie,254,2.16,2021-01-28
1133,Pomorskie,556,2.37,2021-01-28
1134,Śląskie,427,0.95,2021-01-28
1135,Świętokrzyskie,93,0.76,2021-01-28
1136,Warmińsko-mazurskie,442,3.11,2021-01-28
1137,Wielkopolskie,656,1.87,2021-01-28
1138,Zachodniopomorskie,411,2.43,2021-01-28
1139,Cały kraj,5864,1.53,2021-01-29
1140,Dolnośląskie,338,1.17,2021-01-29
1141,Kujawsko-pomorskie,482,2.33,2021-01-29
1142,Lubelskie,318,1.51,2021-01-29
1143,Lubuskie,178,1.76,2021-01-29
1144,Łódzkie,335,1.37,2021-01-29
1145,Małopolskie,265,0.78,2021-01-29
1146,Mazowieckie,950,1.75,2021-01-29
1147,Opolskie,100,1.02,2021-01-29
1148,Podkarpackie,150,0.71,2021-01-29
1149,Podlaskie,251,2.13,2021-01-29
1150,Pomorskie,523,2.23,2021-01-29
1151,Śląskie,493,1.09,2021-01-29
1152,Świętokrzyskie,82,0.67,2021-01-29
1153,Warmińsko-mazurskie,326,2.29,2021-01-29
1154,Wielkopolskie,549,1.57,2021-01-29
1155,Zachodniopomorskie,396,2.34,2021-01-29
1156,Cały kraj,4706,1.23,2021-01-30
1157,Dolnośląskie,303,1.05,2021-01-30
1158,Kujawsko-pomorskie,394,1.9,2021-01-30
1159,Lubelskie,227,1.08,2021-01-30
1160,Lubuskie,170,1.68,2021-01-30
1161,Łódzkie,203,0.83,2021-01-30
1162,Małopolskie,204,0.6,2021-01-30
1163,Mazowieckie,765,1.41,2021-01-30
1164,Opolskie,124,1.26,2021-01-30
1165,Podkarpackie,136,0.64,2021-01-30
1166,Podlaskie,187,1.59,2021-01-30
