,region,number_of_cases,number_of_cases_for_10k,date
346,Małopolskie,149,0.44,2020-12-13
347,Mazowieckie,730,1.34,2020-12-13
348,Opolskie,177,1.8,2020-12-13
349,Podkarpackie,180,0.85,2020-12-13
350,Podlaskie,82,0.7,2020-12-13
351,Pomorskie,428,1.82,2020-12-13
352,Śląskie,274,0.61,2020-12-13
353,Świętokrzyskie,109,0.89,2020-12-13
354,Warmińsko-mazurskie,280,1.97,2020-12-13
355,Wielkopolskie,397,1.13,2020-12-13
356,Zachodniopomorskie,569,3.36,2020-12-13
357,Cały kraj,6908,1.8,2020-12-14
358,Dolnośląskie,531,1.83,2020-12-14
359,Kujawsko-pomorskie,760,3.67,2020-12-14
360,Lubelskie,434,2.06,2020-12-14
361,Lubuskie,149,1.47,2020-12-14
362,Łódzkie,451,1.84,2020-12-14
363,Małopolskie,238,0.7,2020-12-14
364,Mazowieckie,776,1.43,2020-12-14
365,Opolskie,128,1.31,2020-12-14
366,Podkarpackie,311,1.46,2020-12-14
367,Podlaskie,172,1.46,2020-12-14
368,Pomorskie,505,2.15,2020-12-14
369,Śląskie,611,1.36,2020-12-14
370,Świętokrzyskie,174,1.41,2020-12-14
371,Warmińsko-mazurskie,579,4.08,2020-12-14
372,Wielkopolskie,646,1.85,2020-12-14
373,Zachodniopomorskie,336,1.98,2020-12-14
374,Cały kraj,12447,3.25,2020-12-15
375,Dolnośląskie,634,2.19,2020-12-15
376,Kujawsko-pomorskie,1189,5.75,2020-12-15
377,Lubelskie,649,3.09,2020-12-15
378,Lubuskie,326,3.23,2020-12-15
379,Łódzkie,945,3.86,2020-12-15
380,Małopolskie,538,1.58,2020-12-15
381,Mazowieckie,1467,2.7,2020-12-15
382,Opolskie,247,2.52,2020-12-15
383,Podkarpackie,323,1.52,2020-12-15
384,Podlaskie,369,3.14,2020-12-15
385,Pomorskie,878,3.74,2020-12-15
386,Śląskie,1338,2.97,2020-12-15
387,Świętokrzyskie,182,1.48,2020-12-15
388,Warmińsko-mazurskie,822,5.79,2020-12-15
389,Wielkopolskie,1375,3.93,2020-12-15
390,Zachodniopomorskie,1071,6.33,2020-12-15
391,Cały kraj,11953,3.12,2020-12-16
392,Dolnośląskie,685,2.36,2020-12-16
393,Kujawsko-pomorskie,1144,5.53,2020-12-16
394,Lubelskie,702,3.34,2020-12-16
395,Lubuskie,320,3.17,2020-12-16
396,Łódzkie,776,3.17,2020-12-16
397,Małopolskie,348,1.02,2020-12-16
398,Mazowieckie,1322,2.44,2020-12-16
399,Opolskie,253,2.58,2020-12-16
400,Podkarpackie,291,1.37,2020-12-16
401,Podlaskie,230,1.95,2020-12-16
402,Pomorskie,959,4.09,2020-12-16
403,Śląskie,974,2.16,2020-12-16
404,Świętokrzyskie,233,1.89,2020-12-16
405,Warmińsko-mazurskie,944,6.65,2020-12-16
406,Wielkopolskie,1567,4.48,2020-12-16
407,Zachodniopomorskie,1132,6.69,2020-12-16
408,Cały kraj,10992,2.87,2020-12-17
409,Dolnośląskie,684,2.36,2020-12-17
410,Kujawsko-pomorskie,1055,5.1,2020-12-17
411,Lubelskie,540,2.57,2020-12-17
412,Lubuskie,427,4.23,2020-12-17
413,Łódzkie,659,2.69,2020-12-17
414,Małopolskie,409,1.2,2020-12-17
415,Mazowieckie,1428,2.63,2020-12-17
416,Opolskie,250,2.55,2020-12-17
417,Podkarpackie,172,0.81,2020-12-17
418,Podlaskie,265,2.25,2020-12-17
419,Pomorskie,954,4.07,2020-12-17
420,Śląskie,924,2.05,2020-12-17
421,Świętokrzyskie,179,1.46,2020-12-17
422,Warmińsko-mazurskie,838,5.9,2020-12-17
423,Wielkopolskie,1151,3.29,2020-12-17
424,Zachodniopomorskie,965,5.7,2020-12-17
425,Cały kraj,11261,2.94,2020-12-18
426,Dolnośląskie,598,2.06,2020-12-18
427,Kujawsko-pomorskie,1124,5.43,2020-12-18
428,Lubelskie,655,3.11,2020-12-18
429,Lubuskie,406,4.02,2020-12-18
430,Łódzkie,767,3.13,2020-12-18
431,Małopolskie,397,1.16,2020-12-18
432,Mazowieckie,1389,2.56,2020-12-18
433,Opolskie,223,2.27,2020-12-18
434,Podkarpackie,366,1.72,2020-12-18
435,Podlaskie,341,2.9,2020-12-18
436,Pomorskie,1053,4.49,2020-12-18
437,Śląskie,807,1.79,2020-12-18
438,Świętokrzyskie,162,1.32,2020-12-18
439,Warmińsko-mazurskie,712,5.01,2020-12-18
440,Wielkopolskie,1203,3.44,2020-12-18
441,Zachodniopomorskie,970,5.73,2020-12-18
442,Cały kraj,8593,2.24,2020-12-19
443,Dolnośląskie,486,1.68,2020-12-19
444,Kujawsko-pomorskie,793,3.83,2020-12-19
445,Lubelskie,303,1.44,2020-12-19
446,Lubuskie,319,3.16,2020-12-19
447,Łódzkie,449,1.83,2020-12-19
448,Małopolskie,311,0.91,2020-12-19
449,Mazowieckie,1114,2.05,2020-12-19
450,Opolskie,177,1.8,2020-12-19
451,Podkarpackie,146,0.69,2020-12-19
452,Podlaskie,180,1.53,2020-12-19
453,Pomorskie,824,3.51,2020-12-19
454,Śląskie,700,1.55,2020-12-19
455,Świętokrzyskie,129,1.05,2020-12-19
456,Warmińsko-mazurskie,621,4.37,2020-12-19
457,Wielkopolskie,1162,3.32,2020-12-19
458,Zachodniopomorskie,782,4.62,2020-12-19
459,Cały kraj,4633,1.21,2020-12-20
460,Dolnośląskie,203,0.7,2020-12-20
461,Kujawsko-pomorskie,488,2.36,2020-12-20
462,Lubelskie,250,1.19,2020-12-20
463,Lubuskie,173,1.71,2020-12-20
464,Łódzkie,271,1.11,2020-12-20
465,Małopolskie,211,0.62,2020-12-20
466,Mazowieckie,635,1.17,2020-12-20
467,Opolskie,138,1.41,2020-12-20
468,Podkarpackie,134,0.63,2020-12-20
469,Podlaskie,99,0.84,2020-12-20
470,Pomorskie,551,2.35,2020-12-20
471,Śląskie,243,0.54,2020-12-20
472,Świętokrzyskie,70,0.57,2020-12-20
473,Warmińsko-mazurskie,175,1.23,2020-12-20
474,Wielkopolskie,308,0.88,2020-12-20
475,Zachodniopomorskie,566,3.34,2020-12-20
476,Cały kraj,7190,1.87,2020-12-21
477,Dolnośląskie,418,1.44,2020-12-21
478,Kujawsko-pomorskie,783,3.78,2020-12-21
479,Lubelskie,532,2.53,2020-12-21
480,Lubuskie,146,1.45,2020-12-21
481,Łódzkie,459,1.87,2020-12-21
482,Małopolskie,198,0.58,2020-12-21
483,Mazowieckie,889,1.64,2020-12-21
484,Opolskie,92,0.94,2020-12-21
